Charge Time,Cleaning Time Infinity,Cleaning Time for 1-Iteration,Total Cleaning Time (TCT)
150,105,45,405
150,105,60,255
150,105,75,255
150,105,90,255
150,105,105,105
150,105,120,105
150,105,135,105
150,105,150,105
150,120,30,570
150,120,45,420
150,120,60,270
150,120,75,270
150,120,90,270
150,120,105,270
150,120,120,120
150,120,135,120
150,120,150,120
150,135,30,735
150,135,45,435
150,135,60,435
150,135,75,285
150,135,90,285
150,135,105,285
150,135,120,285
150,135,135,135
150,135,150,135
150,150,30,750
150,150,45,600
150,150,60,450
150,150,75,300
150,150,90,300
150,150,105,300
150,150,120,300
150,150,135,300
150,150,150,150
